name,link,number of times bought,price
Large Capacity Travel Clothes Bag Nylon Folding Portable Tote ,https://www.cigabuy.com/large-capacity-travel-clothes-bag-nylon-folding-portable-tote-p-20865.html,(0),$0.80
Swan Base Holder Dinnerware Set with 10 Spoons - Gold,https://www.cigabuy.com/swan-base-holder-dinnerware-set-with-10-spoons-gold-p-21313.html,(0),$6.70
USB 5V 10 LED Lamp Reading Light with Flexible Neck,https://www.cigabuy.com/usb-5v-10-led-lamp-reading-light-with-flexible-neck-p-20881.html,(0),$1.19
YG400 Portable LCD Projector 800x480 1080P Home Theater HDMI USB AV SD,https://www.cigabuy.com/yg400-portable-lcd-projector-800x480-1080p-home-theater-hdmi-usb-av-sd-p-19902.html,(0),$39.90
HD Full Touch Waterproof IP67 Color Screen With Heart Rate Monitoring Smart Brac,https://www.cigabuy.com/hd-full-touch-waterproof-ip67-color-screen-with-heart-rate-monitoring-smart-brac-p-14673.html,(1),$13.89
Men PU Leather Long Clutch Wallet Business Men Cards Phone Holder Purse,https://www.cigabuy.com/men-pu-leather-long-clutch-wallet-business-men-cards-phone-holder-purse-p-19000.html,(0),$6.83
E6 Mini Magnetic USB Invisible Bluetooth V4.2 Earphone,https://www.cigabuy.com/e6-mini-magnetic-usb-invisible-bluetooth-v42-earphone-p-19731.html,(0),$2.38
E6 Bluetooth Earphone 4.2 In-Ear MINI Stereo 600mA with Charging Box,https://www.cigabuy.com/e6-bluetooth-earphone-42-in-ear-mini-stereo-600ma-with-charging-box-p-19829.html,(0),$2.38
M80 2.4GHz Wireless Mouse 4 Buttons 1600 DPI Adjustable Rechargeable Mute Mice,https://www.cigabuy.com/m80-24ghz-wireless-mouse-4-buttons-1600-dpi-adjustable-rechargeable-mute-mice-p-21453.html,(0),$3.78
Motion Sensor Battery Run Wall Night Light,https://www.cigabuy.com/motion-sensor-battery-run-wall-night-light-p-21461.html,(0),$5.69
TWS Bluetooth 5.0 Wireless Headset Earhook Earphones Sports with Chaging bay,https://www.cigabuy.com/tws-bluetooth-50-wireless-headset-earhook-earphones-sports-with-chaging-bay-p-21502.html,(0),$7.15
Unisex Date Time Watch Quartz Casual Steel Brand Luxury Modern Fashion Men Women,https://www.cigabuy.com/unisex-date-time-watch-quartz-casual-steel-brand-luxury-modern-fashion-men-women-p-21595.html,(0),$1.19
Baseus Encok S16 Bluetooth Neck Hung Wireless Earphones,https://www.cigabuy.com/baseus-encok-s16-bluetooth-neck-hung-wireless-earphones-p-21665.html,(0),$9.53
XT22 Wireless bluetooth Earphone Magnetic Adsorption TF Card Sports Headphone,https://www.cigabuy.com/xt22-wireless-bluetooth-earphone-magnetic-adsorption-tf-card-sports-headphone-p-21670.html,(0),$2.38
Original Xiaomi Wired Remote Control Selfie Monopod f iOS and Android,https://www.cigabuy.com/original-xiaomi-wired-remote-control-selfie-monopod-f-ios-and-android-p-21718.html,(0),$3.54
YWXLIGHT 5W Mini COB+Q5 LED Flashlight 4 Modes Portable Camp Torch with Clip,https://www.cigabuy.com/ywxlight-5w-mini-cobq5-led-flashlight-4-modes-portable-camp-torch-with-clip-p-21729.html,(0),$2.36
10pcs Coffee Spoon Tableware Dessert Spoons Set - Silver,https://www.cigabuy.com/10pcs-coffee-spoon-tableware-dessert-spoons-set-silver-p-21307.html,(0),$2.57
Multifunction Stainless Steel Fruit Vegetable Peeler Set,https://www.cigabuy.com/multifunction-stainless-steel-fruit-vegetable-peeler-set-p-17506.html,(0),$2.11
ESTRELLA 64GB Class 10 Micro SDXC Memory Card with Free Card Reader,https://www.cigabuy.com/estrella-64gb-class-10-micro-sdxc-memory-card-with-free-card-reader-p-21013.html,(0),$5.93
S668 Children Smart Watch IP54 Waterproof IPS Round Screen Android Wristwatch,https://www.cigabuy.com/s668-children-smart-watch-ip54-waterproof-ips-round-screen-android-wristwatch-p-21399.html,(0),$5.93
PU Leather RFID Men Wallet with Card Holder Luxury Short Zipper Purse,https://www.cigabuy.com/pu-leather-rfid-men-wallet-with-card-holder-luxury-short-zipper-purse-p-19210.html,(0),$6.11
30-LED Portable Collapsible Outdoor Camping Light Hanging Lantern,https://www.cigabuy.com/30-led-portable-collapsible-outdoor-camping-light-hanging-lantern-p-14948.html,(0),$1.68
WEIXIER Long Men Wallet Double Zipper Coin Pocket Purse Casual Card Holder,https://www.cigabuy.com/weixier-long-men-wallet-double-zipper-coin-pocket-purse-casual-card-holder-p-19219.html,(0),$5.62
Zip Closure Travel Passport Wallet Document Holder with Zipper Strap,https://www.cigabuy.com/zip-closure-travel-passport-wallet-document-holder-with-zipper-strap-p-20825.html,(0),$0.79
